,Proposed.Management.Action,District,Scale,Costing.Certainty,Average_Funding_Shortfall,Average_Filtered_Costings_Data,Count
566,Monitoring,Dee (Kircudbright),Targeted Location,Very Confident,0,2000,1
567,Peatland Restoration,Annan,Catchment,Fairly Confident,0,1400,1
568,Peatland Restoration,Ayr,Whole District,Estimate,3.00E+05,3.00E+05,1
569,Peatland Restoration,Beauly,Catchment,,NA,1400,1
570,Peatland Restoration,Bladnoch,Targeted Location,Very Confident,5000,7000,2
571,Peatland Restoration,Brora,Catchment,Fairly Confident,4333.333333,5333.333333,3
572,Peatland Restoration,Cree,Catchment,Estimate,NA,700,1
573,Peatland Restoration,Dee (Kircudbright),Targeted Location,Fairly Confident,0,3500,1
574,Peatland Restoration,Doon,Whole District,Estimate,80000,80000,1
575,Peatland Restoration,Findhorn,Catchment,Estimate,700,700,1
576,Peatland Restoration,Findhorn,Catchment,Fairly Confident,20000,20000,1
577,Peatland Restoration,Findhorn,Whole District,Fairly Confident,4000,8500,1
578,Peatland Restoration,Fleet (Kircudbright),Targeted Location,Very Confident,5000,6000,2
579,Peatland Restoration,Forth,Catchment,Estimate,2110000,4220000,1
580,Peatland Restoration,Irvine and Garnock,Catchment,Estimate,2.00E+06,2005000,1
581,Peatland Restoration,Kyle of Sutherland,Whole District,Estimate,14500000,3.10E+07,1
582,Peatland Restoration,Lossie,Catchment,Estimate,350,350,1
583,Peatland Restoration,Lossie,Whole District,Estimate,20000,20000,1
584,Peatland Restoration,Luce,Targeted Location,Fairly Confident,0,900,2
585,Peatland Restoration,Nairn,Catchment,Fairly Confident,NA,NA,1
586,Peatland Restoration,Nairn,Catchment,N/A,NA,NA,1
587,Peatland Restoration,Nairn,Whole District,Little Confidence,1000,1000,1
588,Peatland Restoration,Nith,Whole District,Very Confident,0,20000,1
589,Peatland Restoration,Stinchar,Whole District,N/A,150000,150000,1
590,Peatland Restoration,Tay,Catchment,Estimate,2.00E+06,2003500,1
591,Peatland Restoration,Urr,Catchment,Fairly Confident,0,1750,1
592,Raising Awareness,Beauly,River,,NA,7000,1
593,Raising Awareness,Beauly,Catchment,,NA,NA,1
594,Raising Awareness,Brora,Coastal,N/A,0,NA,1
595,Raising Awareness,Brora,River,Fairly Confident,0,NA,1
596,Raising Awareness,Brora,Catchment,N/A,0,NA,1
597,Raising Awareness,Clyde,Catchment,Very Confident,75000,175000,1
598,Raising Awareness,Cree,Whole District,N/A,NA,NA,2
599,Raising Awareness,Cromarty,Targeted Location,Little Confidence,1600,1600,1
600,Raising Awareness,Cromarty,Whole District,Very Confident,0,30000,1
601,Raising Awareness,Dee,River,Very Confident,5000,12700,1
602,Raising Awareness,Dee,Whole District,Fairly Confident,0,9020,1
603,Raising Awareness,Dee,Whole District,Very Confident,0,3000,1
604,Raising Awareness,Deveron,Coastal,N/A,0,600,1
605,Raising Awareness,Deveron,River,Fairly Confident,5000,5000,1
606,Raising Awareness,Don,River,Very Confident,5000,6312.5,1
607,Raising Awareness,Don,Whole District,Fairly Confident,0,872.5,1
608,Raising Awareness,Don,Whole District,Very Confident,0,500,1
609,Raising Awareness,Eachaig,River,,NA,NA,1
610,Raising Awareness,Esk,River,N/A,NA,NA,1
611,Raising Awareness,Esk,Whole District,Very Confident,0,7000,1
612,Raising Awareness,Findhorn,Whole District,Very Confident,0,50000,1
613,Raising Awareness,Forth,Catchment,Very Confident,0,250000,1
614,Raising Awareness,Forth,Whole District,Estimate,10000,20000,1
615,Raising Awareness,Forth,Whole District,Fairly Confident,45000,80000,1
616,Raising Awareness,Forth,Whole District,N/A,0,NA,2
617,Raising Awareness,Laggan and Sorn,River,,NA,7000,1
618,Raising Awareness,Lochaber,Whole District,N/A,0,NA,1
619,Raising Awareness,Lossie,Whole District,Very Confident,10000,50000,1
620,Raising Awareness,Nairn,Whole District,Very Confident,0,50000,1
621,Raising Awareness,Nith,Whole District,Fairly Confident,55000,110000,1
622,Raising Awareness,Nith,Whole District,Very Confident,0,23750,2
623,Raising Awareness,Skye,Whole District,Estimate,0,NA,1
624,Raising Awareness,Skye,Whole District,Little Confidence,2000,5000,1
625,Raising Awareness,Skye,Whole District,Very Confident,6000,33000,1
626,Raising Awareness,Spey,Targeted Location,Fairly Confident,700,700,1
627,Raising Awareness,Spey,Targeted Location,Very Confident,1700,3900,1
628,Raising Awareness,Spey,Whole District,Little Confidence,1500,3000,1
629,Raising Awareness,Spey,Whole District,Very Confident,2500,2500,1
630,Raising Awareness,Tay,Whole District,Estimate,0,20000,1
631,Raising Awareness,Tweed,Whole District,Fairly Confident,NA,NA,1
632,Raising Awareness,West Sutherland,Whole District,Estimate,4500,11000,1
633,Raising Awareness,West Sutherland,Whole District,Fairly Confident,1500,3500,1
634,Raising Awareness,Wester Ross,Targeted Location,Estimate,5000,5000,1
635,Raising Awareness,Wester Ross,Coastal,,0,NA,1
636,Raising Awareness,Wester Ross,Coastal,Estimate,900,1600,5
637,Raising Awareness,Wester Ross,Coastal,Fairly Confident,500,500,1
638,Raising Awareness,Wester Ross,River,Estimate,500,500,1
639,Raising Awareness,Wester Ross,River,N/A,0,500,1
640,Raising Awareness,Wester Ross,Catchment,Estimate,1333.333333,1333.333333,3
641,Raising Awareness,Ythan,Whole District,,NA,3500,2
642,Controlling Invasive Species,Annan,Catchment,Fairly Confident,16000,22000,1
643,Controlling Invasive Species,Argyll,Targeted Location,Estimate,10000,10000,2
644,Controlling Invasive Species,Argyll,River,Estimate,87500,87500,4
645,Controlling Invasive Species,Argyll,River,Little Confidence,50000,50000,1
646,Controlling Invasive Species,Ayr,Targeted Location,Very Confident,1000,8000,1
647,Controlling Invasive Species,Ayr,Whole District,Fairly Confident,156000,321000,1
648,Controlling Invasive Species,Beauly,Catchment,,NA,600,1
649,Controlling Invasive Species,Beauly,Whole District,,NA,3516.666667,4
650,Controlling Invasive Species,Bladnoch,Targeted Location,Very Confident,15000,21000,1
651,Controlling Invasive Species,Brora,Catchment,Fairly Confident,0,3000,2
652,Controlling Invasive Species,Clyde,Targeted Location,Estimate,60000,125000,1
653,Controlling Invasive Species,Cree,River,N/A,NA,NA,1
654,Controlling Invasive Species,Cromarty,Targeted Location,Estimate,15000,15000,1
655,Controlling Invasive Species,Cromarty,Targeted Location,Fairly Confident,0,4800,1
656,Controlling Invasive Species,Cromarty,River,Estimate,0,50000,1
657,Controlling Invasive Species,Cromarty,River,Fairly Confident,5000,10000,1
658,Controlling Invasive Species,Cromarty,River,Very Confident,0,35000,1
659,Controlling Invasive Species,Dee,River,Fairly Confident,30000,63000,1
660,Controlling Invasive Species,Dee (Kircudbright),River,Fairly Confident,16000,20000,1
661,Controlling Invasive Species,Deveron,Catchment,Very Confident,0,89621.97,1
662,Controlling Invasive Species,Don,River,Fairly Confident,30000,33000,1
663,Controlling Invasive Species,Doon,Targeted Location,Estimate,12000,24000,1
664,Controlling Invasive Species,Doon,Targeted Location,Little Confidence,8000,9000,1
665,Controlling Invasive Species,Doon,Whole District,Fairly Confident,43000,83000,1
666,Controlling Invasive Species,Esk,Whole District,Very Confident,0,7000,1
667,Controlling Invasive Species,Findhorn,Whole District,Very Confident,0,15000,1
668,Controlling Invasive Species,Fleet (Kircudbright),Catchment,Very Confident,20000,26000,1
669,Controlling Invasive Species,Forth,Whole District,Estimate,2290000,4350000,1
670,Controlling Invasive Species,Girvan,Whole District,Fairly Confident,50000,50000,1
671,Controlling Invasive Species,Irvine and Garnock,Whole District,Little Confidence,120000,220000,1
672,Controlling Invasive Species,Kyle of Sutherland,Catchment,,0,NA,1
673,Controlling Invasive Species,Kyle of Sutherland,Whole District,Fairly Confident,3000,7000,1
674,Controlling Invasive Species,Loch Lomond,Catchment,Estimate,5000,10000,1
675,Controlling Invasive Species,Loch Lomond,Catchment,Very Confident,15000,30000,4
676,Controlling Invasive Species,Lochaber,Whole District,Estimate,5000,15500,1
677,Controlling Invasive Species,Lochaber,Whole District,N/A,0,7500,1
678,Controlling Invasive Species,Lossie,Catchment,N/A,NA,NA,1
679,Controlling Invasive Species,Luce,Targeted Location,Very Confident,24000,30000,1
680,Controlling Invasive Species,Nairn,Catchment,N/A,NA,NA,1
681,Controlling Invasive Species,Ness,River,Very Confident,0,5000,2
682,Controlling Invasive Species,Ness,Catchment,,0,5000,1
683,Controlling Invasive Species,Ness,Catchment,Very Confident,0,5000,2
684,Controlling Invasive Species,Ness,Whole District,Very Confident,0,4000,4
685,Controlling Invasive Species,Nith,Catchment,Fairly Confident,175000,250000,1
686,Controlling Invasive Species,Nith,Catchment,Very Confident,5000,45000,3
687,Controlling Invasive Species,Nith,Whole District,Fairly Confident,120000,248000,2
688,Controlling Invasive Species,Skye,Whole District,Estimate,7000,14000,1
689,Controlling Invasive Species,Skye,Whole District,Little Confidence,10000,20000,1
690,Controlling Invasive Species,Spey,River,Fairly Confident,1000,8650,2
691,Controlling Invasive Species,Spey,Catchment,Very Confident,0,9000,2
692,Controlling Invasive Species,Spey,Whole District,Fairly Confident,2500,2500,1
693,Controlling Invasive Species,Spey,Whole District,Very Confident,0,3900,1
694,Controlling Invasive Species,Stinchar,Whole District,Very Confident,154000,314000,1
695,Controlling Invasive Species,Tay,Targeted Location,Estimate,50000,55000,1
696,Controlling Invasive Species,Tay,Catchment,Estimate,52500,83500,2
697,Controlling Invasive Species,Tay,Whole District,Estimate,0,13500,1
698,Controlling Invasive Species,Tay,Whole District,Fairly Confident,0,12000,1
699,Controlling Invasive Species,Ugie,River,Very Confident,0,1000,1
700,Controlling Invasive Species,Urr,River,Fairly Confident,32000,40000,1
701,Controlling Invasive Species,West Sutherland,Whole District,,0,NA,1
702,Controlling Invasive Species,Wester Ross,Catchment,Estimate,0,NA,2
703,Controlling Invasive Species,Wester Ross,Catchment,Fairly Confident,2000,12000,1
704,Controlling Invasive Species,Western Isles,Whole District,Very Confident,920,920,1
705,Controlling Invasive Species,Ythan,Whole District,,NA,9000,1
706,Research,Annan,Coastal,N/A,NA,NA,1
707,Research,Bladnoch,Coastal,N/A,0,NA,1
708,Research,Brora,Coastal,N/A,0,NA,1
709,Research,Caithness,River,Very Confident,0,NA,1
710,Research,Cree,Coastal,N/A,NA,NA,1
711,Research,Cromarty,Targeted Location,Fairly Confident,0,2400,1
712,Research,Cromarty,Targeted Location,N/A,0,NA,2
713,Research,Dee (Kircudbright),Coastal,N/A,NA,NA,1
714,Research,Dee (Kircudbright),River,Very Confident,0,70000,1
715,Research,Eachaig,River,,NA,NA,1
716,Research,Fleet (Kircudbright),Coastal,N/A,0,NA,1
717,Research,Forth,Targeted Location,,0,NA,1
718,Research,Forth,Targeted Location,Estimate,95000,190000,1
719,Research,Forth,Coastal,,0,NA,1
720,Research,Forth,Catchment,,0,NA,1
721,Research,Forth,Whole District,,0,NA,13
722,Research,Kyle of Sutherland,Targeted Location,,0,14000,1
723,Research,Kyle of Sutherland,Catchment,,0,NA,1
724,Research,Laggan and Sorn,River,,NA,5000,1
725,Research,Loch Lomond,River,Very Confident,10000,20000,1
726,Research,Luce,Coastal,N/A,0,NA,1
727,Research,Ness,Catchment,Estimate,1.00E+05,1.00E+05,1
728,Research,Nith,Whole District,N/A,0,NA,1
729,Research,Northern,Whole District,Little Confidence,50000,50000,1
730,Research,Skye,Coastal,Very Confident,0,5.00E+05,1
731,Research,Skye,River,Very Confident,0,20000,1
732,Research,Spey,Targeted Location,Estimate,4500,9000,1
733,Research,Spey,Targeted Location,Fairly Confident,32750,74500,2
734,Research,Spey,Targeted Location,Very Confident,10000,38750,2
735,Research,Spey,Coastal,Fairly Confident,1000,1000,1
736,Research,Tay,Coastal,Estimate,1.00E+06,1010000,1
737,Research,Tay,River,Estimate,10000,15000,1
738,Research,Tweed,River,Fairly Confident,0,25000,1
739,Research,Tweed,River,Very Confident,0,25825,2
740,Research,Tweed,Catchment,Very Confident,0,81400,1
741,Research,Urr,Coastal,N/A,0,NA,1
742,Research,Wester Ross,Coastal,Fairly Confident,2000,7000,1
743,Research,Wester Ross,Catchment,Estimate,2000,2000,1
744,Riparian Tree Planting,Annan,River,Fairly Confident,250000,250000,1
745,Riparian Tree Planting,Ayr,River,Little Confidence,932000,932000,1
746,Riparian Tree Planting,Ayr,Catchment,Very Confident,142000,142000,1
747,Riparian Tree Planting,Bladnoch,River,Fairly Confident,117500,157500,1
748,Riparian Tree Planting,Brora,Catchment,Fairly Confident,180000,190000,1
749,Riparian Tree Planting,Clyde,Catchment,Estimate,1.00E+05,205000,1
750,Riparian Tree Planting,Cromarty,River,Very Confident,0,2000,1
751,Riparian Tree Planting,Dee,Targeted Location,Very Confident,0,148704,1
752,Riparian Tree Planting,Dee,Catchment,Estimate,5.00E+06,5.00E+06,1
753,Riparian Tree Planting,Dee (Kircudbright),River,Very Confident,0,10000,1
754,Riparian Tree Planting,Don,Catchment,Estimate,5.00E+06,5004250,1
755,Riparian Tree Planting,Doon,Targeted Location,Estimate,15000,83000,1
756,Riparian Tree Planting,Doon,Targeted Location,Fairly Confident,35100,71450,2
757,Riparian Tree Planting,Doon,Targeted Location,Little Confidence,162250,324500,1
758,Riparian Tree Planting,Doon,Targeted Location,Very Confident,6900,20700,1
759,Riparian Tree Planting,Doon,Whole District,Fairly Confident,29760,47760,2
760,Riparian Tree Planting,Doon,Whole District,Very Confident,15847.2,18394.4,5
761,Riparian Tree Planting,Esk,Catchment,N/A,NA,NA,3
762,Riparian Tree Planting,Findhorn,Catchment,Fairly Confident,18500000,38620000,1
763,Riparian Tree Planting,Fleet (Kircudbright),River,Fairly Confident,15000,18000,1
764,Riparian Tree Planting,Forth,Whole District,N/A,10400000,20600000,1
765,Riparian Tree Planting,Girvan,Targeted Location,Very Confident,29308.4,33036.4,10
766,Riparian Tree Planting,Girvan,Catchment,Estimate,54000,108000,1
767,Riparian Tree Planting,Irvine and Garnock,Catchment,,NA,NA,1
768,Riparian Tree Planting,Irvine and Garnock,Whole District,Estimate,100250,353250,2
769,Riparian Tree Planting,Loch Lomond,Catchment,Fairly Confident,325000,328250,2
770,Riparian Tree Planting,Lochaber,Catchment,N/A,0,NA,1
771,Riparian Tree Planting,Lossie,Whole District,Estimate,20000,20000,1
772,Riparian Tree Planting,Luce,River,Fairly Confident,60000,75000,1
773,Riparian Tree Planting,Nairn,Catchment,N/A,NA,NA,1
774,Riparian Tree Planting,Ness,River,Estimate,5666.666667,5666.666667,3
775,Riparian Tree Planting,Ness,River,Fairly Confident,NA,5000,1
776,Riparian Tree Planting,Ness,River,Very Confident,0,2000,1
777,Riparian Tree Planting,Ness,Catchment,Fairly Confident,0,1000,1
778,Riparian Tree Planting,Ness,Catchment,Very Confident,0,2000,1
779,Riparian Tree Planting,Nith,Whole District,Estimate,3.00E+06,3100000,1
780,Riparian Tree Planting,Northern,Catchment,Estimate,NA,NA,1
781,Riparian Tree Planting,Skye,Catchment,N/A,50000,1.00E+05,3
782,Riparian Tree Planting,Spey,River,Little Confidence,16666.66667,723333.3333,3
783,Riparian Tree Planting,Stinchar,Targeted Location,Fairly Confident,50426.66667,50426.66667,6
784,Riparian Tree Planting,Stinchar,Targeted Location,N/A,0,NA,2
785,Riparian Tree Planting,Stinchar,Targeted Location,Very Confident,47963.2,47963.2,10
786,Riparian Tree Planting,Stinchar,River,Estimate,277550,780550,2
787,Riparian Tree Planting,Stinchar,Catchment,Estimate,3000,4000,1
788,Riparian Tree Planting,Stinchar,Catchment,N/A,NA,NA,1
789,Riparian Tree Planting,Stinchar,Catchment,Very Confident,73320,73320,1
790,Riparian Tree Planting,Tay,Catchment,Estimate,1.00E+06,1040000,1
791,Riparian Tree Planting,Tweed,Targeted Location,Very Confident,0,5000,1
792,Riparian Tree Planting,Tweed,Whole District,N/A,NA,5.00E+05,1
793,Riparian Tree Planting,Tweed,Whole District,Very Confident,0,4000,1
794,Riparian Tree Planting,Ugie,Catchment,Estimate,2000,4000,1
795,Riparian Tree Planting,Urr,River,Fairly Confident,20000,30000,1
796,Riparian Tree Planting,West Sutherland,Whole District,,0,NA,1
797,Stocking,Bladnoch,Targeted Location,Fairly Confident,0,2000,1
798,Stocking,Cree,Targeted Location,N/A,NA,NA,1
799,Stocking,Cromarty,Coastal,N/A,0,NA,1
800,Stocking,Eachaig,River,,NA,NA,1
801,Stocking,Helmsdale,Whole District,,NA,20000,1
802,Stocking,Laggan and Sorn,River,,NA,10000,1
803,Stocking,Nith,Targeted Location,Very Confident,0,50000,1
804,Stocking,Skye,River,Little Confidence,195000,450000,1
805,Stocking,Spey,Targeted Location,Little Confidence,3.00E+05,420000,1
806,Stocking,Spey,Whole District,Very Confident,60000,120000,1
807,Stocking,Tay,River,Fairly Confident,0,65000,3
808,Stocking,Ugie,Targeted Location,N/A,0,NA,1
809,Stocking,Wester Ross,Coastal,,0,NA,1
810,Stocking,Wester Ross,River,Estimate,2000,2000,1
811,Water Flow Management,Annan,River,Fairly Confident,0,1050,1
812,Water Flow Management,Argyll,River,Little Confidence,20000,20000,6
813,Water Flow Management,Ayr,Targeted Location,Estimate,804000,1608000,1
814,Water Flow Management,Beauly,River,,NA,500,1
815,Water Flow Management,Beauly,Catchment,,NA,1400,1
816,Water Flow Management,Bladnoch,Targeted Location,Fairly Confident,0,700,1
817,Water Flow Management,Bladnoch,River,N/A,0,NA,1
818,Water Flow Management,Brora,Targeted Location,N/A,0,NA,1
819,Water Flow Management,Clyde,Catchment,Estimate,65000,135000,1
820,Water Flow Management,Dee,Targeted Location,Very Confident,0,297408,1
821,Water Flow Management,Dee,Catchment,Estimate,5.00E+06,5.00E+06,1
822,Water Flow Management,Dee (Kircudbright),River,Fairly Confident,0,2000,1
823,Water Flow Management,Don,Catchment,Estimate,5.00E+06,5004250,1
824,Water Flow Management,Doon,Whole District,N/A,NA,NA,1
825,Water Flow Management,Findhorn,Catchment,N/A,NA,NA,1
826,Water Flow Management,Findhorn,Whole District,N/A,NA,NA,2
827,Water Flow Management,Forth,River,Estimate,15000,20000,1
828,Water Flow Management,Forth,Catchment,Estimate,2110000,4220000,1
829,Water Flow Management,Forth,Whole District,N/A,0,NA,2
830,Water Flow Management,Lossie,Catchment,N/A,NA,NA,1
831,Water Flow Management,Lossie,Whole District,N/A,NA,NA,2
832,Water Flow Management,Nairn,Catchment,N/A,NA,NA,1
833,Water Flow Management,Nairn,Whole District,N/A,NA,NA,2
834,Water Flow Management,Ness,River,Estimate,20400,20400,5
835,Water Flow Management,Ness,River,N/A,NA,NA,1
836,Water Flow Management,Ness,Catchment,Estimate,80000,80000,3
837,Water Flow Management,Spey,Targeted Location,Estimate,1.00E+06,1005000,1
838,Water Flow Management,Spey,River,Estimate,1.00E+05,120000,1
839,Water Flow Management,Tay,Targeted Location,N/A,NA,3500,1
840,Water Flow Management,Tay,River,Estimate,NA,503000,1
841,Water Flow Management,Tay,Catchment,Estimate,0,2000,1
842,Water Flow Management,Tweed,River,N/A,NA,NA,1
843,Engaging with Consultations,Caithness,Whole District,N/A,0,2666.666667,3
