"","Proposed.Management.Action","District","Scale","Costing.Certainty","Average_Funding_Shortfall","Average_Filtered_Costings_Data","Count"
"417","J","Ugie","3","Estimate",0,3000,1
"418","J","Ythan","5","",NA,10000,1
"419","K","Ayr","3","N/A",5000,10000,1
"420","K","Brora","2","N/A",0,NA,1
"421","K","Brora","3","N/A",0,NA,1
"422","K","Cromarty","1","N/A",0,NA,1
"423","K","Doon","3","Little Confidence",2500,2500,1
"424","K","Eachaig","2","",NA,NA,1
"425","K","Findhorn","1","N/A",NA,NA,1
"426","K","Forth","4","Very Confident",150000,160000,1
"427","K","Girvan","3","Very Confident",0,NA,1
"428","K","Irvine and Garnock","1","Fairly Confident",16500,33000,1
"429","K","Laggan and Sorn","3","",NA,5000,1
"430","K","Lossie","1","Fairly Confident",NA,NA,1
"431","K","Lossie","1","N/A",NA,NA,1
"432","K","Nairn","1","N/A",NA,NA,1
"433","K","Ness","2","Estimate",10000,10000,1
"434","K","Ness","3","Very Confident",0,1000,1
"435","K","Spey","5","Estimate",1500,1500,1
"436","K","Spey","5","Fairly Confident",45000,97500,1
"437","K","Stinchar","3","Fairly Confident",3000,3000,1
"438","K","Wester Ross","2","Estimate",2500,2500,1
"439","L","Annan","3","Fairly Confident",0,2000,1
"440","L","Annan","4","Fairly Confident",0,2100,1
"441","L","Annan","5","Fairly Confident",0,3500,2
"442","L","Ayr","4","Little Confidence",36500,64000,2
"443","L","Ayr","5","Very Confident",2000,10500,1
"444","L","Beauly","1","",NA,30100,2
"445","L","Beauly","3","",NA,700,2
"446","L","Beauly","4","",NA,6750,6
"447","L","Beauly","5","",NA,5600,1
"448","L","Bladnoch","3","Very Confident",3000,5100,2
"449","L","Bladnoch","4","Fairly Confident",0,1400,2
"450","L","Bladnoch","5","Estimate",0,3150,1
"451","L","Brora","4","Very Confident",0,10000,1
"452","L","Caithness","3","Fairly Confident",0,2000,2
"453","L","Caithness","4","Fairly Confident",0,3000,1
"454","L","Caithness","5","Fairly Confident",0,4000,1
"455","L","Caithness","5","Very Confident",0,21000,1
"456","L","Clyde","4","Estimate",40000,82500,4
"457","L","Clyde","4","Fairly Confident",60000,140000,1
"458","L","Cree","3","N/A",NA,NA,1
"459","L","Cree","5","N/A",NA,NA,1
"460","L","Cromarty","3","Very Confident",0,5000,3
"461","L","Dee","3","Very Confident",0,1310,1
"462","L","Dee (Kircudbright)","1","Fairly Confident",0,6000,1
"463","L","Dee (Kircudbright)","3","Fairly Confident",3000,3000,1
"464","L","Dee (Kircudbright)","4","Fairly Confident",0,1400,1
"465","L","Dee (Kircudbright)","5","Fairly Confident",0,3150,1
"466","L","Deveron","1","Fairly Confident",7000,41849,1
"467","L","Deveron","3","Estimate",5050,5050,1
"468","L","Deveron","3","Fairly Confident",18000,21428,5
"469","L","Deveron","3","N/A",600,600,1
"470","L","Deveron","4","Estimate",2000,2000,1
"471","L","Deveron","4","N/A",0,1800,1
"472","L","Deveron","5","N/A",0,NA,1
"473","L","Don","3","Very Confident",0,1062.5,1
"474","L","Doon","1","Little Confidence",5000,5000,1
"475","L","Doon","1","Very Confident",6000,6000,1
"476","L","Doon","4","Fairly Confident",12000,12000,1
"477","L","Doon","4","Very Confident",6333.33333333333,13500,3
"478","L","Doon","5","Very Confident",0,3000,1
"479","L","Esk","5","Fairly Confident",0,10800,2
"480","L","Findhorn","1","N/A",NA,NA,1
"481","L","Findhorn","3","Estimate",15000,33000,1
"482","L","Findhorn","3","Fairly Confident",0,16000,2
"483","L","Findhorn","3","N/A",NA,NA,1
"484","L","Findhorn","5","Little Confidence",NA,NA,1
"485","L","Fleet (Kircudbright)","3","Fairly Confident",1200,1800,1
"486","L","Fleet (Kircudbright)","3","Very Confident",3000,3000,1
"487","L","Fleet (Kircudbright)","5","Very Confident",0,3150,1
"488","L","Forth","1","",138333.333333333,245666.666666667,3
"489","L","Forth","1","Estimate",20000,32500,2
"490","L","Forth","2","",0,NA,1
"491","L","Forth","2","Estimate",907500,1775000,2
"492","L","Forth","3","",15000,15000,8
"493","L","Forth","4","",55000,1e+05,1
"494","L","Forth","5","",25000,51875,9
"495","L","Forth","5","Estimate",25000,52500,2
"496","L","Forth","5","N/A",0,NA,3
"497","L","Forth","5","Very Confident",85000,155000,1
"498","L","Girvan","5","Fairly Confident",4500,4500,1
"499","L","Helmsdale","1","",NA,2500,1
"500","L","Kyle of Sutherland","1","Very Confident",0,12000,3
"501","L","Kyle of Sutherland","4","Fairly Confident",10000,10000,1
"502","L","Kyle of Sutherland","5","Estimate",325000,660000,1
"503","L","Lochaber","1","Fairly Confident",0,NA,1
"504","L","Lochaber","1","N/A",0,NA,2
"505","L","Lochaber","2","N/A",0,NA,1
"506","L","Lochaber","4","Estimate",10000,10000,1
"507","L","Lochaber","4","Fairly Confident",0,NA,2
"508","L","Lochaber","4","N/A",0,NA,4
"509","L","Lochaber","4","Very Confident",0,NA,1
"510","L","Lossie","3","Estimate",4783.33333333333,4900,3
"511","L","Luce","3","Fairly Confident",0,2250,1
"512","L","Luce","3","Very Confident",0,3000,1
"513","L","Luce","4","Fairly Confident",0,1400,1
"514","L","Luce","4","N/A",0,NA,1
"515","L","Luce","5","Fairly Confident",0,3150,1
"516","L","Nairn","1","Little Confidence",NA,NA,1
"517","L","Nairn","3","",NA,NA,3
"518","L","Nairn","3","Little Confidence",4500,4500,1
"519","L","Nairn","5","",NA,NA,1
"520","L","Ness","3","Fairly Confident",0,50000,1
"521","L","Ness","5","Very Confident",0,6500,1
"522","L","Nith","4","Estimate",1500000,1590000,1
"523","L","Nith","5","Estimate",1e+05,2e+05,1
"524","L","Nith","5","Very Confident",7500,162500,2
"525","L","Northern","1","Very Confident",550,20550,1
"526","L","Northern","4","N/A",NA,NA,1
"527","L","Northern","4","Very Confident",3000,11625,2
"528","L","Northern","5","Very Confident",0,NA,1
"529","L","Skye","4","Little Confidence",30000,60000,1
"530","L","Skye","4","Very Confident",6000,28000,1
"531","L","Skye","5","Fairly Confident",0,80000,2
"532","L","Skye","5","Little Confidence",2000,4000,1
"533","L","Skye","5","Very Confident",0,NA,1
"534","L","Spey","1","Very Confident",0,2000,1
"535","L","Spey","2","Little Confidence",2500,5000,1
"536","L","Spey","3","Fairly Confident",0,60000,1
"537","L","Spey","3","Very Confident",0,8000,2
"538","L","Spey","5","Estimate",21000,32000,1
"539","L","Spey","5","Fairly Confident",6750,13000,2
"540","L","Spey","5","Very Confident",30000,87000,1
"541","L","Stinchar","1","N/A",NA,NA,1
"542","L","Stinchar","5","Fairly Confident",25000,25000,1
"543","L","Stinchar","5","Very Confident",0,NA,1
"544","L","Tay","1","Fairly Confident",30000,85000,1
"545","L","Tay","3","Estimate",10000,15000,1
"546","L","Tay","3","Fairly Confident",0,5000,1
"547","L","Tay","4","Estimate",5000,5000,1
"548","L","Tay","5","Fairly Confident",15000,45000,1
"549","L","Ugie","1","Very Confident",0,7000,1
"550","L","Urr","4","Fairly Confident",0,1400,1
"551","L","Urr","5","Fairly Confident",0,3150,1
"552","L","West Sutherland","4","Estimate",16000,16000,1
"553","L","West Sutherland","5","Fairly Confident",7000,27000,1
"554","L","Wester Ross","1","",0,NA,1
"555","L","Wester Ross","1","Estimate",5000,6000,1
"556","L","Wester Ross","1","Fairly Confident",0,10000,1
"557","L","Wester Ross","2","Estimate",2000,2666.66666666667,3
"558","L","Wester Ross","2","Fairly Confident",0,11000,1
"559","L","Wester Ross","3","Estimate",1375,1375,4
"560","L","Wester Ross","4","",750,1500,2
"561","L","Wester Ross","4","Estimate",1206.89655172414,1620.68965517241,29
"562","L","Wester Ross","4","Fairly Confident",333.333333333333,1666.66666666667,3
"563","L","Wester Ross","4","Little Confidence",1000,1000,1
"564","L","Wester Ross","4","N/A",0,NA,1
"565","L","Western Isles","5","Very Confident",15748,15748,1
"566","L ","Dee (Kircudbright)","1","Very Confident",0,2000,1
"567","M","Annan","4","Fairly Confident",0,1400,1
"568","M","Ayr","5","Estimate",3e+05,3e+05,1
"569","M","Beauly","4","",NA,1400,1
"570","M","Bladnoch","1","Very Confident",5000,7000,2
"571","M","Brora","4","Fairly Confident",4333.33333333333,5333.33333333333,3
"572","M","Cree","4","Estimate",NA,700,1
"573","M","Dee (Kircudbright)","1","Fairly Confident",0,3500,1
"574","M","Doon","5","Estimate",80000,80000,1
"575","M","Findhorn","4","Estimate",700,700,1
"576","M","Findhorn","4","Fairly Confident",20000,20000,1
"577","M","Findhorn","5","Fairly Confident",4000,8500,1
"578","M","Fleet (Kircudbright)","1","Very Confident",5000,6000,2
"579","M","Forth","4","Estimate",2110000,4220000,1
"580","M","Irvine and Garnock","4","Estimate",2e+06,2005000,1
"581","M","Kyle of Sutherland","5","Estimate",14500000,3.1e+07,1
"582","M","Lossie","4","Estimate",350,350,1
"583","M","Lossie","5","Estimate",20000,20000,1
"584","M","Luce","1","Fairly Confident",0,900,2
"585","M","Nairn","4","Fairly Confident",NA,NA,1
"586","M","Nairn","4","N/A",NA,NA,1
"587","M","Nairn","5","Little Confidence",1000,1000,1
"588","M","Nith","5","Very Confident",0,20000,1
"589","M","Stinchar","5","N/A",150000,150000,1
"590","M","Tay","4","Estimate",2e+06,2003500,1
"591","M","Urr","4","Fairly Confident",0,1750,1
"592","N","Beauly","3","",NA,7000,1
"593","N","Beauly","4","",NA,NA,1
"594","N","Brora","2","N/A",0,NA,1
"595","N","Brora","3","Fairly Confident",0,NA,1
"596","N","Brora","4","N/A",0,NA,1
"597","N","Clyde","4","Very Confident",75000,175000,1
"598","N","Cree","5","N/A",NA,NA,2
"599","N","Cromarty","1","Little Confidence",1600,1600,1
"600","N","Cromarty","5","Very Confident",0,30000,1
"601","N","Dee","3","Very Confident",5000,12700,1
"602","N","Dee","5","Fairly Confident",0,9020,1
"603","N","Dee","5","Very Confident",0,3000,1
"604","N","Deveron","2","N/A",0,600,1
"605","N","Deveron","3","Fairly Confident",5000,5000,1
"606","N","Don","3","Very Confident",5000,6312.5,1
"607","N","Don","5","Fairly Confident",0,872.5,1
"608","N","Don","5","Very Confident",0,500,1
"609","N","Eachaig","3","",NA,NA,1
"610","N","Esk","3","N/A",NA,NA,1
"611","N","Esk","5","Very Confident",0,7000,1
"612","N","Findhorn","5","Very Confident",0,50000,1
"613","N","Forth","4","Very Confident",0,250000,1
"614","N","Forth","5","Estimate",10000,20000,1
"615","N","Forth","5","Fairly Confident",45000,80000,1
"616","N","Forth","5","N/A",0,NA,2
"617","N","Laggan and Sorn","3","",NA,7000,1
"618","N","Lochaber","5","N/A",0,NA,1
"619","N","Lossie","5","Very Confident",10000,50000,1
"620","N","Nairn","5","Very Confident",0,50000,1
"621","N","Nith","5","Fairly Confident",55000,110000,1
"622","N","Nith","5","Very Confident",0,23750,2
"623","N","Skye","5","Estimate",0,NA,1
"624","N","Skye","5","Little Confidence",2000,5000,1
"625","N","Skye","5","Very Confident",6000,33000,1
"626","N","Spey","1","Fairly Confident",700,700,1
"627","N","Spey","1","Very Confident",1700,3900,1
"628","N","Spey","5","Little Confidence",1500,3000,1
"629","N","Spey","5","Very Confident",2500,2500,1
"630","N","Tay","5","Estimate",0,20000,1
"631","N","Tweed","5","Fairly Confident",NA,NA,1
"632","N","West Sutherland","5","Estimate",4500,11000,1
"633","N","West Sutherland","5","Fairly Confident",1500,3500,1
"634","N","Wester Ross","1","Estimate",5000,5000,1
"635","N","Wester Ross","2","",0,NA,1
"636","N","Wester Ross","2","Estimate",900,1600,5
"637","N","Wester Ross","2","Fairly Confident",500,500,1
"638","N","Wester Ross","3","Estimate",500,500,1
"639","N","Wester Ross","3","N/A",0,500,1
"640","N","Wester Ross","4","Estimate",1333.33333333333,1333.33333333333,3
"641","N","Ythan","5","",NA,3500,2
"642","O","Annan","4","Fairly Confident",16000,22000,1
"643","O","Argyll","1","Estimate",10000,10000,2
"644","O","Argyll","3","Estimate",87500,87500,4
"645","O","Argyll","3","Little Confidence",50000,50000,1
"646","O","Ayr","1","Very Confident",1000,8000,1
"647","O","Ayr","5","Fairly Confident",156000,321000,1
"648","O","Beauly","4","",NA,600,1
"649","O","Beauly","5","",NA,3516.66666666667,4
"650","O","Bladnoch","1","Very Confident",15000,21000,1
"651","O","Brora","4","Fairly Confident",0,3000,2
"652","O","Clyde","1","Estimate",60000,125000,1
"653","O","Cree","3","N/A",NA,NA,1
"654","O","Cromarty","1","Estimate",15000,15000,1
"655","O","Cromarty","1","Fairly Confident",0,4800,1
"656","O","Cromarty","3","Estimate",0,50000,1
"657","O","Cromarty","3","Fairly Confident",5000,10000,1
"658","O","Cromarty","3","Very Confident",0,35000,1
"659","O","Dee","3","Fairly Confident",30000,63000,1
"660","O","Dee (Kircudbright)","3","Fairly Confident",16000,20000,1
"661","O","Deveron","4","Very Confident",0,89621.97,1
"662","O","Don","3","Fairly Confident",30000,33000,1
"663","O","Doon","1","Estimate",12000,24000,1
"664","O","Doon","1","Little Confidence",8000,9000,1
"665","O","Doon","5","Fairly Confident",43000,83000,1
"666","O","Esk","5","Very Confident",0,7000,1
"667","O","Findhorn","5","Very Confident",0,15000,1
"668","O","Fleet (Kircudbright)","4","Very Confident",20000,26000,1
"669","O","Forth","5","Estimate",2290000,4350000,1
"670","O","Girvan","5","Fairly Confident",50000,50000,1
"671","O","Irvine and Garnock","5","Little Confidence",120000,220000,1
"672","O","Kyle of Sutherland","4","",0,NA,1
"673","O","Kyle of Sutherland","5","Fairly Confident",3000,7000,1
"674","O","Loch Lomond","4","Estimate",5000,10000,1
"675","O","Loch Lomond","4","Very Confident",15000,30000,4
"676","O","Lochaber","5","Estimate",5000,15500,1
"677","O","Lochaber","5","N/A",0,7500,1
"678","O","Lossie","4","N/A",NA,NA,1
"679","O","Luce","1","Very Confident",24000,30000,1
"680","O","Nairn","4","N/A",NA,NA,1
"681","O","Ness","3","Very Confident",0,5000,2
"682","O","Ness","4","",0,5000,1
"683","O","Ness","4","Very Confident",0,5000,2
"684","O","Ness","5","Very Confident",0,4000,4
"685","O","Nith","4","Fairly Confident",175000,250000,1
"686","O","Nith","4","Very Confident",5000,45000,3
"687","O","Nith","5","Fairly Confident",120000,248000,2
"688","O","Skye","5","Estimate",7000,14000,1
"689","O","Skye","5","Little Confidence",10000,20000,1
"690","O","Spey","3","Fairly Confident",1000,8650,2
"691","O","Spey","4","Very Confident",0,9000,2
"692","O","Spey","5","Fairly Confident",2500,2500,1
"693","O","Spey","5","Very Confident",0,3900,1
"694","O","Stinchar","5","Very Confident",154000,314000,1
"695","O","Tay","1","Estimate",50000,55000,1
"696","O","Tay","4","Estimate",52500,83500,2
"697","O","Tay","5","Estimate",0,13500,1
"698","O","Tay","5","Fairly Confident",0,12000,1
"699","O","Ugie","3","Very Confident",0,1000,1
"700","O","Urr","3","Fairly Confident",32000,40000,1
"701","O","West Sutherland","5","",0,NA,1
"702","O","Wester Ross","4","Estimate",0,NA,2
"703","O","Wester Ross","4","Fairly Confident",2000,12000,1
"704","O","Western Isles","5","Very Confident",920,920,1
"705","O","Ythan","5","",NA,9000,1
"706","P","Annan","2","N/A",NA,NA,1
"707","P","Bladnoch","2","N/A",0,NA,1
"708","P","Brora","2","N/A",0,NA,1
"709","P","Caithness","3","Very Confident",0,NA,1
"710","P","Cree","2","N/A",NA,NA,1
"711","P","Cromarty","1","Fairly Confident",0,2400,1
"712","P","Cromarty","1","N/A",0,NA,2
"713","P","Dee (Kircudbright)","2","N/A",NA,NA,1
"714","P","Dee (Kircudbright)","3","Very Confident",0,70000,1
"715","P","Eachaig","3","",NA,NA,1
"716","P","Fleet (Kircudbright)","2","N/A",0,NA,1
"717","P","Forth","1","",0,NA,1
"718","P","Forth","1","Estimate",95000,190000,1
"719","P","Forth","2","",0,NA,1
"720","P","Forth","4","",0,NA,1
"721","P","Forth","5","",0,NA,13
"722","P","Kyle of Sutherland","1","",0,14000,1
"723","P","Kyle of Sutherland","4","",0,NA,1
"724","P","Laggan and Sorn","3","",NA,5000,1
"725","P","Loch Lomond","3","Very Confident",10000,20000,1
"726","P","Luce","2","N/A",0,NA,1
"727","P","Ness","4","Estimate",1e+05,1e+05,1
"728","P","Nith","5","N/A",0,NA,1
"729","P","Northern","5","Little Confidence",50000,50000,1
"730","P","Skye","2","Very Confident",0,5e+05,1
"731","P","Skye","3","Very Confident",0,20000,1
"732","P","Spey","1","Estimate",4500,9000,1
"733","P","Spey","1","Fairly Confident",32750,74500,2
"734","P","Spey","1","Very Confident",10000,38750,2
"735","P","Spey","2","Fairly Confident",1000,1000,1
"736","P","Tay","2","Estimate",1e+06,1010000,1
"737","P","Tay","3","Estimate",10000,15000,1
"738","P","Tweed","3","Fairly Confident",0,25000,1
"739","P","Tweed","3","Very Confident",0,25825,2
"740","P","Tweed","4","Very Confident",0,81400,1
"741","P","Urr","2","N/A",0,NA,1
"742","P","Wester Ross","2","Fairly Confident",2000,7000,1
"743","P","Wester Ross","4","Estimate",2000,2000,1
"744","Q","Annan","3","Fairly Confident",250000,250000,1
"745","Q","Ayr","3","Little Confidence",932000,932000,1
"746","Q","Ayr","4","Very Confident",142000,142000,1
"747","Q","Bladnoch","3","Fairly Confident",117500,157500,1
"748","Q","Brora","4","Fairly Confident",180000,190000,1
"749","Q","Clyde","4","Estimate",1e+05,205000,1
"750","Q","Cromarty","3","Very Confident",0,2000,1
"751","Q","Dee","1","Very Confident",0,148704,1
"752","Q","Dee","4","Estimate",5e+06,5e+06,1
"753","Q","Dee (Kircudbright)","3","Very Confident",0,10000,1
"754","Q","Don","4","Estimate",5e+06,5004250,1
"755","Q","Doon","1","Estimate",15000,83000,1
"756","Q","Doon","1","Fairly Confident",35100,71450,2
"757","Q","Doon","1","Little Confidence",162250,324500,1
"758","Q","Doon","1","Very Confident",6900,20700,1
"759","Q","Doon","5","Fairly Confident",29760,47760,2
"760","Q","Doon","5","Very Confident",15847.2,18394.4,5
"761","Q","Esk","4","N/A",NA,NA,3
"762","Q","Findhorn","4","Fairly Confident",18500000,38620000,1
"763","Q","Fleet (Kircudbright)","3","Fairly Confident",15000,18000,1
"764","Q","Forth","5","N/A",10400000,20600000,1
"765","Q","Girvan","1","Very Confident",29308.4,33036.4,10
"766","Q","Girvan","4","Estimate",54000,108000,1
"767","Q","Irvine and Garnock","4","",NA,NA,1
"768","Q","Irvine and Garnock","5","Estimate",100250,353250,2
"769","Q","Loch Lomond","4","Fairly Confident",325000,328250,2
"770","Q","Lochaber","4","N/A",0,NA,1
"771","Q","Lossie","5","Estimate",20000,20000,1
"772","Q","Luce","3","Fairly Confident",60000,75000,1
"773","Q","Nairn","4","N/A",NA,NA,1
"774","Q","Ness","3","Estimate",5666.66666666667,5666.66666666667,3
"775","Q","Ness","3","Fairly Confident",NA,5000,1
"776","Q","Ness","3","Very Confident",0,2000,1
"777","Q","Ness","4","Fairly Confident",0,1000,1
"778","Q","Ness","4","Very Confident",0,2000,1
"779","Q","Nith","5","Estimate",3e+06,3100000,1
"780","Q","Northern","4","Estimate",NA,NA,1
"781","Q","Skye","4","N/A",50000,1e+05,3
"782","Q","Spey","3","Little Confidence",16666.6666666667,723333.333333333,3
"783","Q","Stinchar","1","Fairly Confident",50426.6666666667,50426.6666666667,6
"784","Q","Stinchar","1","N/A",0,NA,2
"785","Q","Stinchar","1","Very Confident",47963.2,47963.2,10
"786","Q","Stinchar","3","Estimate",277550,780550,2
"787","Q","Stinchar","4","Estimate",3000,4000,1
"788","Q","Stinchar","4","N/A",NA,NA,1
"789","Q","Stinchar","4","Very Confident",73320,73320,1
"790","Q","Tay","4","Estimate",1e+06,1040000,1
"791","Q","Tweed","1","Very Confident",0,5000,1
"792","Q","Tweed","5","N/A",NA,5e+05,1
"793","Q","Tweed","5","Very Confident",0,4000,1
"794","Q","Ugie","4","Estimate",2000,4000,1
"795","Q","Urr","3","Fairly Confident",20000,30000,1
"796","Q","West Sutherland","5","",0,NA,1
"797","R","Bladnoch","1","Fairly Confident",0,2000,1
"798","R","Cree","1","N/A",NA,NA,1
"799","R","Cromarty","2","N/A",0,NA,1
"800","R","Eachaig","3","",NA,NA,1
"801","R","Helmsdale","5","",NA,20000,1
"802","R","Laggan and Sorn","3","",NA,10000,1
"803","R","Nith","1","Very Confident",0,50000,1
"804","R","Skye","3","Little Confidence",195000,450000,1
"805","R","Spey","1","Little Confidence",3e+05,420000,1
"806","R","Spey","5","Very Confident",60000,120000,1
"807","R","Tay","3","Fairly Confident",0,65000,3
"808","R","Ugie","1","N/A",0,NA,1
"809","R","Wester Ross","2","",0,NA,1
"810","R","Wester Ross","3","Estimate",2000,2000,1
"811","S","Annan","3","Fairly Confident",0,1050,1
"812","S","Argyll","3","Little Confidence",20000,20000,6
"813","S","Ayr","1","Estimate",804000,1608000,1
"814","S","Beauly","3","",NA,500,1
"815","S","Beauly","4","",NA,1400,1
"816","S","Bladnoch","1","Fairly Confident",0,700,1
"817","S","Bladnoch","3","N/A",0,NA,1
"818","S","Brora","1","N/A",0,NA,1
"819","S","Clyde","4","Estimate",65000,135000,1
"820","S","Dee","1","Very Confident",0,297408,1
"821","S","Dee","4","Estimate",5e+06,5e+06,1
"822","S","Dee (Kircudbright)","3","Fairly Confident",0,2000,1
"823","S","Don","4","Estimate",5e+06,5004250,1
"824","S","Doon","5","N/A",NA,NA,1
"825","S","Findhorn","4","N/A",NA,NA,1
"826","S","Findhorn","5","N/A",NA,NA,2
"827","S","Forth","3","Estimate",15000,20000,1
"828","S","Forth","4","Estimate",2110000,4220000,1
"829","S","Forth","5","N/A",0,NA,2
"830","S","Lossie","4","N/A",NA,NA,1
"831","S","Lossie","5","N/A",NA,NA,2
"832","S","Nairn","4","N/A",NA,NA,1
"833","S","Nairn","5","N/A",NA,NA,2
"834","S","Ness","3","Estimate",20400,20400,5
"835","S","Ness","3","N/A",NA,NA,1
"836","S","Ness","4","Estimate",80000,80000,3
"837","S","Spey","1","Estimate",1e+06,1005000,1
"838","S","Spey","3","Estimate",1e+05,120000,1
"839","S","Tay","1","N/A",NA,3500,1
"840","S","Tay","3","Estimate",NA,503000,1
"841","S","Tay","4","Estimate",0,2000,1
"842","S","Tweed","3","N/A",NA,NA,1
"843","T","Caithness","5","N/A",0,2666.66666666667,3
